"Route of Travel","Quarter","Statistic Label","UNIT","VALUE"
"Transatlantic","2015Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12.2"
"Transatlantic","2015Q3","Overseas Trips to Ireland by Non-Residents","Thousand","455"
"Transatlantic","2015Q3","Overseas Trips by Irish Residents","Thousand","183"
"Transatlantic","2015Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","16.2"
"Transatlantic","2015Q4","Overseas Trips to Ireland by Non-Residents","Thousand","283"
"Transatlantic","2015Q4","Overseas Trips by Irish Residents","Thousand","140"
"Transatlantic","2015Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11"
"Transatlantic","2016Q1","Overseas Trips to Ireland by Non-Residents","Thousand","171"
"Transatlantic","2016Q1","Overseas Trips by Irish Residents","Thousand","116"
"Transatlantic","2016Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","14.8"
"Transatlantic","2016Q2","Overseas Trips to Ireland by Non-Residents","Thousand","371"
"Transatlantic","2016Q2","Overseas Trips by Irish Residents","Thousand","143"
"Transatlantic","2016Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"Transatlantic","2016Q3","Overseas Trips to Ireland by Non-Residents","Thousand","534"
"Transatlantic","2016Q3","Overseas Trips by Irish Residents","Thousand","175"
"Transatlantic","2016Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12.8"
"Transatlantic","2016Q4","Overseas Trips to Ireland by Non-Residents","Thousand","336"
"Transatlantic","2016Q4","Overseas Trips by Irish Residents","Thousand","145"
"Transatlantic","2016Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.5"
"Transatlantic","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","241"
"Transatlantic","2017Q1","Overseas Trips by Irish Residents","Thousand","118"
"Transatlantic","2017Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.6"
"Transatlantic","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","537"
"Transatlantic","2017Q2","Overseas Trips by Irish Residents","Thousand","163"
"Transatlantic","2017Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10"
"Transatlantic","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","678"
"Transatlantic","2017Q3","Overseas Trips by Irish Residents","Thousand","230"
"Transatlantic","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12"
"Transatlantic","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","355"
"Transatlantic","2017Q4","Overseas Trips by Irish Residents","Thousand","175"
"Transatlantic","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.7"
"Transatlantic","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","298"
"Transatlantic","2018Q1","Overseas Trips by Irish Residents","Thousand","144"
"Transatlantic","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.7"
"Transatlantic","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","550"
"Transatlantic","2018Q2","Overseas Trips by Irish Residents","Thousand","201"
"Transatlantic","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"Transatlantic","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","735"
"Transatlantic","2018Q3","Overseas Trips by Irish Residents","Thousand","228"
"Transatlantic","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","12.8"
"Transatlantic","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","421"
"Transatlantic","2018Q4","Overseas Trips by Irish Residents","Thousand","201"
"Transatlantic","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.3"
"Transatlantic","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","352"
"Transatlantic","2019Q1","Overseas Trips by Irish Residents","Thousand","150"
"Transatlantic","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.9"
"Transatlantic","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","598"
"Transatlantic","2019Q2","Overseas Trips by Irish Residents","Thousand","219"
"Transatlantic","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"Transatlantic","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","680"
"Transatlantic","2019Q3","Overseas Trips by Irish Residents","Thousand","262"
"Transatlantic","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.5"
"Transatlantic","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","359"
"Transatlantic","2019Q4","Overseas Trips by Irish Residents","Thousand","188"
"Transatlantic","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.7"
